Height,Weight
179.84,89.12
176.03,85.07
168.26,77.88
171.43,86.95
167.15,75.23
181.47,84.22
173.9,80.87
162.53,68.48
180.34,95.22
173.07,79
173.72,81.59
172.96,76.09
173.08,83.03
174.9,76.91
168.02,78.67
168.16,82.05
171.28,83.24
176.46,93.43
179.11,83.35
181.2,91.6
180.34,98.03
168.15,72.3
184.26,95.41
171.4,81.02
165.99,66.56
179.94,88.88
177.64,77.19
164.44,76.95
176.04,89.98
174.85,81.6
157.32,66.8
174.23,80.28
165.66,84.13
163.41,80.51
174.62,77.03
184.12,90.08
170.77,92.24
170.85,87.64
165.4,80.8
168.31,73.84
171.96,72.25
166.45,78.07
177.47,91.55
173.94,77.27
183.42,93.16
173.18,77.01
182.83,90.92
167.81,81.01
169.31,76.21
171.7,80.63
173.34,87.67
164.61,73.65
171.43,83.18
173.18,82.13
176.67,95.65
168.66,75.1
169.14,88.97
182.72,91.65
173.45,77.3
,91.6
182.5,87.72
167.02,81.58
170.26,70.98
194.84,106.61
184.33,104.58
177.11,92.49
184.91,98.98
184.25,101
183.63,94.56
170.82,82
192.9,105.2
168.44,77.38
180.74,85.4
180.83,88.93
183.38,97.34
190.86,101.66
163.61,71.93
164.43,75.52
161.07,72.64
172.34,79.91
167.47,79.15
180.26,87.95
171.66,84.82
174.22,78.74
178.62,87.7
183.88,94.55
179.88,93.45
167.39,78.28
189.98,105.52
171.91,80.39
170.58,79.67
182.31,96.45
164.25,75.74
173.03,89.09
169.64,75.04
169.69,80.09
172.43,79.22
175.7,88.56
178.37,93.3
164.73,71.82
172.27,76.69
161.14,61.53
182.5,98.95
169.49,70.71
182.8,91.41
193.09,107.01
181.55,88.63
171.12,80.12
179.21,90.02
177.46,84.24
172.59,80.44
188.23,97.87
175.69,84.83
169.06,77.83
169.42,78.4
170.81,76.33
175.39,74.31
179.51,86.19
166.37,71.15
165.58,78.29
171.62,76.69
187.49,104.95
181.88,94.01
172.02,78.09
173.31,90.64
167.46,76.24
181.73,89.73
175.68,89.31
174.24,81.75
180.49,85.79
161.66,71.86
180.8,94.77
167.97,84.89
165.25,71.48
172.95,82.39
180.32,92.87
188.52,104.84
176.09,84.49
164.93,82.14
173.6,90.23
180.16,92.25
156.15,73.04
173.97,86.09
183.01,90.81
184.21,100.64
180.93,97.1
183.54,91.49
171.62,84.91
183.56,89.14
159,68.82
168.24,75.88
176.91,90.19
175.99,81.1
179.64,87.79
174.82,89.69
167.68,83.67
168.69,70.4
169.2,73.02
172.81,85.77
179.08,78.46
175.66,88.86
179.82,97.86
165.59,75.62
189.96,108.62
180.51,83.59
176.11,90.71
177.54,86.82
163.64,76.71
172.34,88.33
171.57,83.13
189.91,95.42
181.4,89.83
170.49,78.32
177.44,89.39
173.81,86.41
172.55,83.71
173.98,81.61
165.72,72.35
178.27,89.76
180.6,98.55
173.86,85.23
166.17,80.22
171.96,83.98
188.53,101.29
180.76,93.87
170.77,77.57
172.42,79.48
171.14,78.61
174.65,82.16
182.13,91.9
176.23,90.65
187.24,101.38
176.41,99.46
179.8,95.81
182.29,91.08
176.13,94.71
165.83,73.22
180.14,94.27
174.24,82.02
174.25,80.2
176.48,88.27
167.46,73.94
174.05,78.59
187.78,97.8
180.84,95.32
169.05,83.93
182.23,85.26
177.15,85.36
169.55,81.44
177.02,96.03
178.82,89.67
175.31,84.5
164.42,75.34
180.34,85.64
163.73,73.2
177.16,87.76
181.68,85.86
173.55,94.25
179.74,90.41
181.4,95.19
176.25,81.73
182.88,89
175.75,85.93
168.06,75.08
170.87,82.73
180.13,85.98
175.56,86.01
171.22,77.2
185.26,98.02
179.05,80.32
175.28,88.93
169.58,76.07
175.57,81.47
185.74,100.09
171.42,74.52
164.99,71.01
172.17,83.32
171.86,77.25
168.85,76.49
185.39,95.09
176.69,88.61
180.35,88.14
177.59,99.5
182.11,93.06
171.83,81.14
173.47,82.43
174.47,92.33
175.05,74.91
175.16,89.78
170.81,78.6
175.05,83.44
167.23,63.29
164.26,72.66
168.39,74.21
170.43,87.98
170.18,86.13
180.24,83.56
173.79,86.54
171.84,85.37
192.08,102.61
179.2,89.76
174.98,86.42
173.44,79.94
165.09,80.62
166.56,78.79
176.04,95.46
166.89,77.16
172.22,78.68
175.81,83.89
172.76,88.13
157.29,67.65
170.86,87.3
171.9,81.53
177.73,92.02
165.9,74.1
182.64,98.44
168.23,83.08
167.17,75.56
185.03,93.1
180.21,86.05
181.21,99.15
180.48,92.14
157.29,63.46
174.66,89.04
171.66,81.62
171.1,74.46
167.33,76.28
174.48,86.07
,88.53
169.25,86.39
177.32,92.73
174.45,88.97
181.9,95.1
177.01,86.61
180.09,89.79
172.73,84.72
179.36,85.58
181.79,80
185.45,94.95
154.3,61.76
175.47,86.61
176.12,86.84
172.1,83.89
193.11,105.38
183.46,91.53
175.06,85.42
165.95,79.22
167.47,83.44
178.99,85.06
185.88,97
174.12,79.48
174.06,76.9
161.53,65.59
170.55,79.69
179.87,89.45
186.77,101.12
168,75.03
172.48,77.3
181.44,98.26
170.47,78.79
186.14,98.84
161.73,73.03
175.83,87.89
176.96,80.34
179.03,92.91
175.27,80.16
173.88,87.44
167.7,75.73
176.07,84.7
175.46,85.5
186.85,94.51
167.86,73.25
186.76,97.51
176.98,93.05
169.36,83.1
185.32,94.75
173.35,94.31
182.77,95.56
180.49,92.66
170.12,88.54
173.93,86.49
181.06,90.55
165.05,75.67
169.58,81.1
174.67,84.26
175.24,87.89
181.09,103.78
175.39,87.25
169.02,79.82
174.03,79.9
171.35,80.5
181.25,91.52
174.22,80.21
177.13,84.15
177.38,85.29
183.92,85.9
166.2,75.34
168.32,77.22
177.73,96.53
180.87,88.97
177.64,91.75
181.32,91.32
164.06,71.87
174.73,79.15
173.85,83.36
175.77,85.32
176.34,79.92
176.8,88.09
185.12,88.09
157.93,66.18
174.94,87.01
180.54,95.19
183.34,91.29
183.04,94.7
171.15,82.86
172.55,75.49
179.84,87.72
166.49,80.94
178.29,93.41
182.32,90.36
173.05,87.1
173.63,79.5
167.87,77.11
181.81,93.14
186.78,88.92
180.63,94.41
179.82,92.03
182.19,85.55
160.52,73.68
172.98,82.94
167.27,71.36
173.6,81.05
176.68,84.92
174.57,77.85
178.2,90.96
175.07,87.96
163.32,70.53
178.96,87.33
174.31,72.51
176.95,79.95
175.41,77.89
170.76,82.42
167.93,77.74
174.29,81.25
175.89,85.03
176.89,82.56
184.9,97.28
190.61,94.59
180.27,86.28
188.95,98.49
163.48,70.79
181.17,93.61
170.62,80.81
188.98,103.8
162.22,79.14
174.97,74.49
183.22,96.23
173.75,93.45
165.34,75.95
175.84,88.55
182.75,94.88
171.36,82.69
176.05,86.27
161.88,72.73
154.13,58.65
179.48,88.73
171.69,84.71
189.61,103.19
178.99,89.44
182.74,95.05
188.03,95.15
179.79,99.99
164.41,76.75
173.69,84.3
181.53,87.4
170.04,80.3
,90.69
165.84,76.53
156.86,56.03
158.7,72.68
172.23,89.4
,73.47
184.15,91.47
179.03,88.35
169.39,73.74
181.08,79.75
182.36,94.97
185.56,92.74
174.89,95.65
167.76,76.81
187.92,101.3
175.9,87.52
176.13,78.43
180.28,86.9
161.45,71.27
177.22,82.91
165.58,68.89
177.75,87.7
177.17,84.11
180.78,88.62
179.25,79.01
166.75,74.68
170.53,74.32
167.43,79.25
187.42,96.57
172.05,78.38
166.48,78.01
180.88,88.87
166.6,79.29
166.8,79.18
157.41,63.63
187.71,97.78
183.75,97.91
178.59,83.57
170.47,76.3
167.47,68.67
170.76,84.35
178.09,92.19
190.1,101.58
163.9,67.35
177.93,93.98
182.46,93.07
185.01,94.99
186.19,90.34
168.64,74.87
168.95,81.99
175.95,91.76
173.31,88.57
178.85,83.57
177.11,85.48
166.4,71.31
175.61,89.15
187.11,94.51
167.37,71.75
173.62,83.73
178.88,89.77
183.08,92.02
182.15,90.3
166.95,70.86
162.3,76.34
178.6,91.4
167.1,79.19
177.36,89.33
173.56,89.7
172.06,75.13
190.59,105.64
186.45,87.42
176.67,87.17
163.93,71.27
171.57,74.16
185.67,93.06
169.05,77.76
187.94,94.78
179.99,95.15
181.78,93.56
167.23,80.38
178.5,96.03
156.9,67.82
190.06,99.94
181.88,87.28
170.84,74.11
180.15,90.62
190.65,99.15
185.68,101.24
179.48,98.86
170.55,77.66
170.49,66.92
176.59,77.13
165.67,72.95
173.76,83.97
174.66,80.32
172.56,85.68
175.86,72.23
173.9,85.31
166.86,68.47
176.35,78.17
167.98,75.46
180.03,84.52
167.57,85.12
164.95,74.33
173.66,89.33
176.59,86.05
168.8,85.72
176.47,80.44
174.57,83.52
187.4,100.35
194.31,98.83
180.91,90.35
163.85,74.62
168.92,74.06
175.79,85.11
161.41,68.2
177.12,91.95
174.26,82.43
181.52,93.71
176.55,92.53
187.35,105.06
173.43,88.54
184.03,90.85
179.75,88.61
178.95,85.32
175.02,88.3
175.87,89.54
170.89,70.95
181.52,94.24
174.86,77.98
181.37,98.39
178.17,86.45
179.53,93.49
174.09,91.22
181.44,93.71
165.66,72.12
179.76,94.45
177.19,85.19
162.46,76.36
178.57,89.28
178.6,93.22
171.21,74.65
170.49,75.84
173.68,76.66
176.73,83.56
158.83,76.27
176.12,83.52
169.64,78.1
191.49,99.16
178.34,86.03
180.6,89.25
,82.43
168.84,79.56
179.61,94.67
161.59,73.79
179.2,86.78
171.2,87.39
181.45,96.77
174.23,85
181.49,92.28
179.57,86.18
181.33,89.5
179.03,87.71
189,102.83
161.04,84
173.74,77.71
171.27,79.44
179.86,89
170.46,88.34
172.03,83.67
174.12,81.45
174.29,87.36
179.34,89.51
170.4,74.47
165.89,75.9
177.61,84.31
173.65,87.99
180.01,93.38
193.07,106.79
172.63,80.27
177.2,90.28
176.7,91.04
181.76,97.06
180.23,91.47
166.22,65.38
180.28,91.9
172.7,83.44
179.12,90.52
175.54,79.85
181.88,88.42
177.52,92.31
168.8,75.61
178.54,94.12
159.05,69.33
169.22,66.33
165.99,71.11
181.88,95.24
176.31,83.42
177.53,91.08
166.79,74.49
163.6,70.14
174.31,85.93
176.78,80.1
171.33,78.59
173.15,84.03
176.67,92.45
167,82.58
185.73,91.49
169.22,80.67
175.63,91.91
167.55,84.47
170.7,84.12
166.25,79.76
185.5,95.07
173.53,81.36
168.49,75.01
183.8,89.93
172,83.88
179.01,90.83
180.75,90.47
176.16,91.78
178.05,91.62
176.02,89.52
160.81,71.22
172.43,83.16
185.94,92.09
185.78,87.96
180.08,88.72
183.24,97.46
183.22,83.53
180.86,87.88
168.28,77.16
183.75,93.3
172.9,75.42
181.35,90
166.94,76.96
170.46,72.6
183.43,92.96
160.04,67.09
176.71,82.08
178.83,98.81
172.8,85.89
177.24,79.87
157.68,59.09
167.22,72.27
179.78,87.08
176.71,82.62
171.01,85.43
172.25,86.98
169.37,73.83
176.88,89.63
164.53,82.82
187.87,90.72
172.55,83.65
169.6,75.06
175.1,80.13
194.14,103.81
175.25,81.81
186.69,102.5
176.79,86.1
183.05,91.74
179.04,81.16
170.27,75.77
168.11,78.31
174.48,81.63
169.3,72.64
177.39,80.92
168.26,70.12
184.94,94.73
163.77,76.85
177.18,82.39
179.48,92.46
184.08,83.66
173.16,90.58
185.39,93.73
179.16,89.17
177.92,86.18
175.3,89.25
186.81,100.83
173.02,81.68
173.45,80.94
181.68,91.97
186.43,100.22
177.41,90.1
178.19,92.41
168.4,68.11
194.29,103.03
180.42,84.71
169.24,77.3
167.83,82.75
179.36,85.04
165.62,71.97
169.83,79.74
187.35,100.14
177.54,88.79
176.6,85.74
169.53,69.91
175.45,81.37
174.15,78.11
178.62,86.39
182.75,94.39
180.13,87.04
178.74,89.53
172.2,86.04
174.5,94.38
175.55,85.6
171.95,85.01
181.05,98.84
181.43,91.55
180.45,92.82
164.4,65.02
170.56,82.57
183.62,91.67
178.42,87.45
163.72,72.08
189.14,96.83
165.86,73.85
184.78,96.24
166.92,70.39
174.98,88.31
185.52,95.02
177.45,89.96
177.45,81.49
182.28,87.4
169.72,81.56
172.18,86.41
175.9,88.97
175.08,82.02
175.25,84.66
168.59,76.11
168.6,81.41
175.4,82.26
166.8,73.22
159.39,67.93
169.11,73.12
170.87,84.99
177.38,79.84
188.51,108.21
180.93,94.82
179.74,88.36
172.41,74.26
170.47,82.79
169.01,79.42
170.41,82.05
174.99,78.31
182.58,94.15
179.15,88
175.79,85.22
169.81,73.13
195.99,103.74
173.22,80.04
169.66,84.82
188.14,99.08
177.02,83.74
179.03,90.43
168.16,74.68
182.52,87.74
167.58,77.6
184.6,98.68
177.32,85.3
175.37,80.82
162.18,68.94
164.87,65.85
165.22,66.98
174.94,83.21
177.75,80.9
159.28,69.32
169.99,78.76
170.86,81.66
183.19,90.87
176.81,77.24
165.57,75.63
188.16,88.35
155.25,69.3
173.54,93.63
162.44,74.74
174.2,82.18
164.91,83.92
176.94,95.04
180.65,89.51
159.52,67.41
179.86,91.27
176.66,90.35
170.26,85.48
,80.88
176.2,78.67
189.34,99.08
169.05,78.65
170.84,84.51
167.64,74.92
170.9,92.14
172.53,73.33
167.79,74.6
167.25,77.47
175.34,77.25
178.63,87.32
169,75.46
181.54,89.15
177.92,83.29
174.26,84.95
175.22,80.87
187.42,100.88
175.44,86.45
185.9,92.58
174.44,87.18
164.9,81.38
167.92,87.44
172.08,76.99
182.41,87.46
175.76,84.25
171.21,85.54
177.49,81.5
163.49,73.71
171.43,83.18
185.73,100.45
171.84,85.68
174.09,87.01
179.64,97.19
173.3,82.73
171.95,74.36
187.24,90.02
174.9,85
168.84,79.81
177.73,85.56
171.59,91.07
188.65,95.23
183.12,91.56
176.71,82.91
181.9,93.51
170.53,77.96
173.78,77.71
198.36,115.98
174.35,81.11
177.87,84.53
188.79,100.17
183.47,91.69
171.87,87.58
168.72,71.34
165.28,81.99
175.66,93.67
172.23,81.65
173.33,87.99
184.27,92.36
188.1,96.04
186.02,91.22
185.01,96.25
173.41,76.16
177.98,93.93
182.22,84.3
174.43,78.4
178.26,83.79
170.04,82.72
171.9,85.42
172.48,76.51
170.69,78.69
170.17,80.77
167.72,78.95
172.25,87.12
181.48,86.72
178,86
187.25,95.36
168.63,72.29
173.22,86.13
173.42,79.91
167.49,80.42
169.85,77.26
168.14,75.27
186.19,105.35
175.98,93.84
182.3,90.88
161.64,74.05
183.29,85.69
182.89,94.14
173.14,78.68
175.48,86.12
170.66,77.06
161.58,72.93
182.17,95.71
179.01,87.93
185.08,98.58
173.13,80.17
176.99,92.22
160.02,75.09
182.27,96.04
181.94,91.4
180.5,91.03
178.09,85.97
178.94,93.67
174.1,78.61
181.19,100.3
170.64,77.03
185.69,99.69
180.05,82.96
182.65,89.85
186.87,98.26
177.3,92.2
179.39,84.03
168.44,67.25
178.48,87.23
180.29,93.68
178.6,82.46
181.64,96.49
180.34,88.89
169.41,70.37
184.55,94.12
168.94,82.53
169.11,74.44
169.48,84.06
176.01,80.82
173.54,80.93
167.13,73.49
178.11,98.62
175.42,86.09
180.11,89.46
169.56,80.91
174.22,80.76
180.27,83.91
160.47,69.67
177.55,100.65
172.04,79.63
180.58,90.19
178.11,85.86
167.1,75.42
181.63,91.86
182.16,99.91
181.49,96.77
176.24,77.71
178.18,86.89
183.16,91.04
181.92,94.69
175.79,78.37
180.61,85.66
170.35,85.08
193.04,101.8
172.69,77.24
176.23,89.49
181.42,88.62
179,90
182.52,89.06
184.7,88.61
185.22,97.03
182.27,91.32
189.66,103.17
171,71.23
179.21,87.21
165.56,76.87
177.12,89.65
182.25,97.95
175.18,78.6
165.2,73.94
177.85,94.62
180.43,91.64
185.09,104.21
182.68,91.9
187.88,102.98
166.79,75.5
179.98,84.87
173.12,82.12
170.63,79.54
179.98,89.69
162.08,75.51
170.05,75.5
178.51,84.94
178.62,84.4
179.24,93.01
176.01,85.94
188.95,95.32
169.91,84.46
187,93.66
175.49,85.83
171.56,76.55
159.82,65.39
174.88,85.08
176.81,87.83
176.57,84.07
175.53,85.39
169.73,75.37
180.62,91.79
172.11,86.88
169.06,73.49
170.44,79.81
176.74,87.71
183.59,87.4
175.79,84.45
175.33,89.82
166.21,76.08
173.9,90.72
182.79,90.71
187.35,98.53
179.15,88.13
175.29,86.42
186.97,107.4
173.97,82.2
162.79,68.78
172.65,77.44
179.92,89.53
181.98,90.85
170.97,71.86
173.34,84.56
166.31,75.59
179.61,92.88
170.63,79.19
172.08,81
173.88,84.09
183.64,88.32
166.12,72.4
166.73,73.79
176.38,81.71
172.72,77.98
182.1,87.05
186.95,99.57
170.88,79.97
,97.72
174.28,88.05
165.68,75.8
168.47,75.33
178,98.26
169.26,77.69
185.35,92.76
189.89,95.13
167.25,85.07
169.17,73.73
173.32,83.59
176.89,86.8
165.74,70.77
169.12,82.2
173.37,91.57
175.28,77.19
177.96,87.11
180.56,80.98
180.6,84.29
174.09,81.95
175.31,80.72
169.9,85.09
174.97,89.65
173.66,88.51
168.17,82.98
164.3,71.22
172.7,78.25
164.43,68.06
178,92.15
168.83,74.53
183.32,84.45
164.05,71.84
188.98,101.53
181.07,86.22
166.06,71.7
172.89,77.56
164.34,70.61
176.77,86.87
183.96,103.86
169.49,74.8
174.43,80.82
176.69,90.49
184.84,95.78
176.47,92.09
176.33,84.08
167.15,67.69
182.07,97.19
168.53,72.74
168.83,81.86
179.01,89.37
172.98,84.46
167.21,75.11
175.76,91.31
185.12,91.32
172.16,86.51
177.87,87.58
181.23,96.76
181.52,95.24
175.8,82.2
172.81,77.4
182.8,104.11
181.2,90.6
183.88,91.36
153.32,60.85
178.98,86.01
182.15,87.59
179.18,84.13
185.73,93.85
157.64,79.41
175.46,80.08
181.64,94.97
179.29,93.31
165.18,70.23
172.51,89.11
174.98,79.92
179.6,90.16
164.03,68.12
180.25,81.3
174.74,84.84
166.15,64.68
165.62,74.22
177.63,84.11
169.93,76.6
170.83,74.96
174.01,74.62
172.1,84.41
168.63,75.07
178.33,87.98
174.5,87.77
179.76,92.73
190.39,100.32
168.55,78.63
167.83,77.7
169.77,77.15
183.3,92.79
173.37,86.36
176.39,81.05
178.9,86.14
183.87,90.53
175.84,84.33
170.45,75.01
178.67,80.5
183.86,85.8
179.28,93.63
171.2,90.57
186.53,102.61
170.69,79.12
188.04,97.66
175.01,79.58
162.24,76.24
172.91,84.16
172.15,81.59
176.58,86.01
173.74,82.67
174.96,82.33
177.21,88.27
166.92,79.11
168.22,82.06
159.44,74.02
170.51,80.61
177.54,82.3
171.93,80.7
176.8,86.65
177.04,80.35
171.29,72.49
173.08,85.34
179.05,94.69
180.3,87.14
180.96,99.91
173.95,84.56
175.99,89.45
164.09,63.59
174.5,81.75
173.46,79.84
166.91,76.13
172.33,69.41
171.22,73.86
167.89,74.23
171.74,86.37
168.27,86.92
172.03,79.47
175.37,83.48
199.29,103.12
179.37,89.99
178.83,87.93
172.39,80.24
179.96,84.07
172.47,87.39
189.8,94.03
173.69,81.27
192.41,102.74
180.41,84.47
179.71,91.96
193.79,105.92
176.79,87.14
176.7,88.44
176.73,88.97
167.2,71.49
172.2,83.85
173.71,81.35
164.9,71.85
173.85,82.76
184.59,93.88
167.78,73.28
155.73,68.18
173.42,72.57
191.17,101.36
168.83,82.77
168.97,81.29
172.09,81.25
182.31,95.58
175.25,90.86
173.5,84.04
187.87,97.54
174.63,88.06
186.88,93.99
170,76.7
176.15,88.53
170.22,83.18
183.03,90.75
172.41,79.59
162.42,69.83
167.95,78.25
187.49,94.74
164.48,73.02
170.22,85.72
180.03,88.03
171.23,76.49
170.01,79.4
164.29,79.87
171,76.54
173.48,88.24
187.46,103.16
168.29,80.05
171.97,80.4
167.27,80.75
182.39,95.87
165.97,70.64
172.64,87.12
190.89,97.24
161.06,73.97
165.36,71.06
172.03,74.81
183.67,91.59
176.39,89.65
164.79,80.19
170.12,85.29
169.95,82.55
173.04,79.67
178.79,79.86
179.09,93.64
177.21,89.73
173.76,80.34
170.93,78.96
173.29,79.68
171.54,81.77
188.99,100.12
175.26,82.53
173.59,85.11
175.27,85.43
164.68,74.66
185.58,97.99
181.87,95.72
178.44,86.6
180.38,89.93
176.2,85.08
162.88,71.51
179.16,92.72
161.03,63.98
181.38,94.03
177.49,98.88
169.86,76.95
180.98,86.67
186.88,90.48
173.15,91.37
186.88,97.55
177.53,77.98
164.79,73.31
182.96,95.06
171.21,74.15
171.78,80.48
176.66,90.63
168.41,81.54
174.49,80.75
179.21,82.41
168.5,73.94
,80.06
183.82,101.88
170.67,87.9
171.53,74.39
174.29,86.05
174.14,84.4
178.56,89.17
175.02,88.64
176.23,90.2
184.43,91.01
171.62,80.91
175.86,91.72
177.96,83.69
176.03,87.78
189.71,104.39
171.59,78.41
170.3,77.72
184.77,92.02
173.62,92.7
170.41,76.35
188.49,89.57
154.48,62.49
176.87,90.87
172.04,88.08
177.27,88.18
177.77,94.4
163.67,75.52
164.6,84.03
176.68,89.44
172.73,87.96
179.05,92.21
188.1,94.22
182.41,89.72
170.87,82.96
171.68,79.12
158.23,67.81
182.77,97.59
173.77,81.57
176.7,92.18
180.57,82.91
183.21,98.07
184.25,96.94
164.41,73.46
180.24,96.27
179.66,89.73
168.53,78
179.52,92.2
169.81,74.71
178.24,87.38
181.9,94.65
178.42,89.9
172.33,76.23
183.1,95.04
174.97,79.83
177.13,89
176.1,88.37
174.14,81.05
174.32,87.6
188.2,98.75
183.84,98.4
173.77,86.24
174.27,82.2
165.24,78.67
191.95,98.48
178.67,90.33
186.5,99.88
186.13,94.9
165.99,78.28
189.7,101.89
175.15,94.23
177.11,86.73
170.02,79.81
187.95,96.78
179.16,82.49
184.84,95.55
176.87,86.02
177.17,92.61
169.32,83.67
174.94,90.72
172.47,77.49
182.81,95.95
191.68,98.87
161.71,72.63
175.53,83.87
180.47,88
192.27,113.2
180.7,86.84
177.6,89.48
172.16,82.83
172.68,84.23
179.73,90.11
166.72,78.26
187.59,98.83
182.35,89.55
157.91,67.07
164.61,71.67
159.41,63.62
175.26,86.74
177.09,92.63
171.6,77.65
186.13,91.75
177.22,89.8
180.05,101.92
171.5,85.46
180.47,87.08
178.76,94.25
179.83,88.85
176.4,86.39
165.33,69.18
184.45,93.97
175.18,80.65
169.01,78.69
192.58,104.75
183.59,90.19
169.81,81.89
161.67,72.97
173.69,85.63
176.87,90.97
184.67,92.17
187.29,94.42
167.47,73.73
169.23,72.63
173.91,91.21
186.59,96.07
160.49,67.41
172.57,86.79
189.76,94
164.18,78.25
180.84,83.3
171.19,81.95
171.11,77.33
179.93,91.35
174.03,87.15
180.7,96.08
170.68,84.25
179.62,80.27
175.73,91.23
186.55,92.19
181.99,91.03
177.66,82.71
189.73,94.97
172.38,76.57
182.09,85.57
183.39,88.58
172.97,78.88
169.1,74.04
178.28,82.25
194.2,108.67
168,75.3
167.45,69.38
182.49,90.91
175.56,89.58
186.33,98.61
175.39,88.31
182.54,92.3
182.52,92.72
154.43,58.24
175.37,82.27
173.5,85.65
180.32,90.1
182.73,90.23
177.65,85
182.66,92.89
180.36,88.03
183.6,93.41
168.34,79.02
173.35,83.21
183.81,99.06
171.44,79.47
179.71,93.61
182.04,85.91
181.67,97.21
167.84,79.63
179,90.88
180.21,98.13
169.24,72.34
165.77,76.09
177.1,82.77
182.51,96.53
170.1,76.84
175.85,79.79
165.74,79.35
184.65,82.25
184.95,85.71
169.11,80.96
158.97,65.61
172.13,74.46
173.95,79.13
172.03,76.86
194.61,116.06
186.88,101.01
171.83,76.14
177.18,91.18
166.9,77.52
174.67,78.46
179.58,84.99
175.79,83.88
189.57,96.65
178.7,91.64
173.01,76.15
180.58,95.63
177.76,93.63
165.79,71.02
171.91,76.93
188.13,103.6
174.65,78.06
175.9,87.28
174.77,79.03
172.07,81.44
181.54,87.51
179.46,88.65
173.66,85.24
181.53,92.8
176.22,96.17
189.12,95.23
183.59,89.23
185.61,94.37
173,79.95
171.27,85.91
179.89,88.15
170.79,80.17
180.91,95.13
167.12,71.88
163.88,77.7
171.39,81.78
181.25,95.89
173.17,86.24
171.38,80.91
166.77,74.02
171.96,70.38
158.01,59.35
171.31,84.75
176.73,88.04
177.61,92.93
174.91,90.39
180.2,87.18
181.8,94.26
168.92,73.37
175.29,86.65
172.89,77.59
178.87,85.39
180.9,91.04
178.27,85.52
168.86,75.11
178.79,81.13
174.87,79.33
176.7,85.03
175.8,91.41
182.06,93.62
174.01,91.12
177.95,102.06
180.1,90.43
170.47,77.47
171.78,79.32
180.31,97.43
169.87,79.54
173.93,84.91
168.32,74.22
167.07,71.2
163.73,72.08
167.27,70.29
177.55,80.61
175.6,89.05
,88.07
186.71,95.12
183.68,88.4
187.32,92.53
186.79,96.18
160.26,70.26
183.56,95.09
180.64,79.18
182.89,93.42
169.43,85.92
161.47,65.69
179.57,84.83
192.23,105.28
173.13,83.11
178.37,86.96
181.78,88.32
182.01,92.73
189.66,94.31
169.68,79.08
172.78,84.1
173.26,76.28
183.03,92.5
169.43,74.47
165.35,82.01
173.3,79.25
178.51,90.14
175.24,75.66
184.96,92.06
179.03,86.42
175.93,78.15
167.94,82.11
154.86,61.15
167.85,76.94
176.12,89.99
179.82,87.22
164.7,73.12
169.96,77.06
180.84,86.95
171.86,78.65
173.98,82.64
170.54,85.66
172.8,80.13
180.42,98.65
166.69,76.22
174.44,80.52
183.55,92.72
177.31,98.52
168.65,77.21
171.68,78.93
180.57,85.33
167.18,78.36
174.14,84.55
177.09,93.05
183.02,93.29
171.84,82.04
177.2,86.1
169.97,79.47
182.1,89.23
175.35,83.26
174.35,92.08
173.26,86.45
171.34,75.47
173.14,87.01
180.2,87.77
179.54,88.42
180.26,96.54
189.5,113.37
164.97,76.45
171.18,78.94
179.51,87.8
182.13,93.94
179.52,93.36
179,90.43
173.8,81.02
178.86,85.99
182.06,90.81
172.48,75.19
160.04,68.65
169.67,79.37
